Price,Close,High,Low,Open,Volume,Daily_Return
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,
Date,,,,,,
2015-11-27,211.16806030273438,214.06905008080727,210.10041278694703,213.31413936178362,10891864,-0.009710116211265052
2015-11-30,208.59060668945312,212.3219953957347,207.55531125141098,211.0494369542784,29919205,-0.012205698198800352
2015-12-01,208.33175659179688,211.1141072357572,207.32881339729641,207.92194921378302,12981379,-0.001240948007029008
2015-12-02,210.93077087402344,211.30822616048127,208.029781657418,208.40723694387583,7573628,0.012475362972717896
2015-12-03,210.76902770996094,213.30334604563524,210.10040363775107,210.27294806983107,11361395,-0.0007668068693452712
2015-12-04,208.2346649169922,210.5533022175464,207.36114451818057,209.71211949494594,13443688,-0.0120243606022431
2015-12-07,205.34449768066406,209.86313412648315,204.84841808997868,208.23468861943664,14483909,-0.01387937612347212
2015-12-08,202.93959045410156,205.6788050642084,201.9042951560251,204.66507781826277,7532164,-0.011711573739377368
2015-12-09,197.5474395751953,203.48961132957604,196.88959951893887,201.92588419388113,9174419,-0.02657022647399987
2015-12-10,204.9778289794922,205.721941175931,198.43173798486978,198.97095368605838,18592203,0.037613190129293095
2015-12-11,205.5386199951172,206.84353038888125,203.37097308770743,205.2798033603932,18155513,0.002735861816943741
2015-12-14,206.00233459472656,207.81410851562416,204.03958431305358,204.38468753558126,10563900,0.0022560947408345466
2015-12-15,210.4886474609375,210.9308069753967,205.6896113631853,206.4121699836065,15718833,0.021777970987741258
2015-12-16,211.08177185058594,213.00138618504857,209.97098831032028,210.48863598719453,12097338,0.0028178450325142546
2015-12-17,217.77880859375,218.92195844925246,210.94154950044492,211.38370892791042,19369032,0.03172721492931441
2015-12-18,213.9396209716797,217.62785879507004,213.5298135695476,216.50629125084478,16016139,-0.01762883931113801
2015-12-21,213.98272705078125,215.47096568259636,212.31115999542914,213.07684016221603,12331769,0.0002014871247588701
2015-12-22,212.94744873046875,216.2474470029047,212.23567423397597,214.13372036075907,11579277,-0.004838139669408048
2015-12-23,216.5062713623047,217.17489533726848,213.5297939544305,213.918033268044,12919467,0.016712210702934494
2015-12-24,215.8052978515625,217.23961654089567,214.88864121961024,216.52785640832002,11901877,-0.0032376591510790975
2015-12-28,217.9298095703125,218.65235368458278,215.68666025238315,215.8160685597931,12885935,0.009844576291223817
2015-12-29,219.0082550048828,219.72001513928487,217.2288330720293,217.92982357801964,14913870,0.004948590726053803
2015-12-30,216.65724182128906,219.13763959367105,216.11802616624058,218.92195909081062,8151610,-0.010734815377353435
2015-12-31,218.83567810058594,219.93569188706,215.4925438331794,216.41999881504498,18483713,0.01005475866388883
2016-01-01,218.99746704101562,219.76314729320407,217.4553081126233,217.80039694835952,5416562,0.0007393170155522988
2016-01-04,214.67295837402344,218.66316350641532,212.8180481573938,216.7651171822268,30170947,-0.019746843310211704
2016-01-05,216.79747009277344,217.8435495008794,215.0396305093221,215.75139068466748,14946239,0.009896503662321976
2016-01-06,222.63177490234375,223.96903727610155,215.7729330211221,217.32587590779337,26759864,0.026911314080711568
2016-01-07,218.5445098876953,221.7258837807024,217.42294244585054,220.22686105046247,19739943,-0.01835885742922949
2016-01-08,221.2406005859375,222.78275950402073,219.28863428025832,220.00040879500355,21313199,0.012336574822344515
2016-01-11,226.8161163330078,228.80043485596795,218.05924180640085,219.12688925548707,29016443,0.025201141799036986
2016-01-12,225.4896240234375,229.79256536172463,224.55138501337092,227.54943047624425,23373377,-0.005848315944281368
2016-01-13,232.26220703125,235.04457231874218,225.8670919990354,227.1396503485914,71802356,0.030035009535997803
2016-01-14,228.98374938964844,233.15729708893838,227.12885369897384,229.45826093793698,27823189,-0.014115329753843553
2016-01-15,231.49649047851562,234.99061559913002,229.83570732296806,230.73081025404883,28767318,0.01097344722306648
2016-01-18,219.32098388671875,233.79356421462063,217.4337361564748,231.86316598278572,27254669,-0.052594778290718125
2016-01-19,225.09059143066406,226.4278393274596,218.72782950323702,221.94156974092337,21489315,0.026306682751912946
